NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
1401-021,Roundtop,Aleutian Islands,Radiocarbon,54.8,-163.5888889,1871,Stratovolcano,-7600,Aleutian is
1401-022,Royal Society Range,Antarctica,Holocene,-78.25,163.3333333,3000,Cinder cone,unknown,Antarctica
1401-023,Ruang,Indonesia,Historical,2.3,125.3666667,725,Stratovolcano,2002,Sangihe is-indonesia
1401-024,Ruapehu,New Zealand,Historical,-39.28333333,175.5666667,2797,Stratovolcano,2007,New Zealand
1401-02=,Ruby,Pacific Ocean,Historical,15.61666667,145.5666667,-230,Submarine volcano,1995,Mariana is-C Pacific
1401-031,Rudakov,Russia,Holocene,45.88333333,149.8333333,542,Stratovolcano,unknown,Kuril is
1401-03=,Ruiz  Nevado del,Colombia,Historical,4.895277778,-75.3225,5321,Stratovolcano,unknown,Colombia
1401-04=,Rumble ii West,New Zealand,Fumarolic,-35.35333333,178.5266667,1200,Submarine volcano,unknown,New Zealand
1401-061,Rumble iii,New Zealand,Historical,-35.745,178.4783333,-220,Submarine volcano,2008,New Zealand
1401-062,Rumble iV,New Zealand,Fumarolic,-36.13333333,178.05,500,Submarine volcano,unknown,New Zealand
1401-06=,Rumble V,New Zealand,Fumarolic,-36.14166667,178.1958333,400,Submarine volcano,unknown,New Zealand
1401-07-,Rungwe,Africa,Radiocarbon,-9.133333333,33.66666667,2961,Stratovolcano,1250,Africa-E
1401-081,Saba,British West Indies,Historical,17.63333333,-63.23333333,887,Stratovolcano,1640,British West Indies
1401-082,Sabalan,Iran,Holocene,38.25,47.91666667,4811,Stratovolcano,unknown,Iran
1401-08=,Sabancaya,Peru,Historical,-15.78333333,-71.85,5967,Stratovolcano,2003,Peru
1401-091,Sahand,Iran,Holocene,37.75,46.43333333,3707,Stratovolcano,unknown,Iran
1401-092,Sairecabur,Chile,Holocene,-22.71666667,-67.89166667,5971,Stratovolcano,unknown,Chile-N
1401-093,Sakar,Papua New Guinea,Holocene,-5.413888889,148.0944444,992,Stratovolcano,unknown,New Guinea-NE of
1401-094,Sakura-jima,Japan,Historical,31.585,130.6569444,1117,Stratovolcano,2011,Kyushu-Japan
1401-095,Salak,Indonesia,Historical,-6.716666667,106.7333333,2211,Stratovolcano,1938,Java
1401-096,Salton Buttes,United States,Hydration Rind,33.2,-115.6166667,-40,Lava dome,-6450,US-California
1401-097,San Borja Volcano Field,Mexico,Holocene,28.5,-113.75,1360,Cinder cone,unknown,Mexico
1401-098,San Carlos,Africa,Holocene,3.35,8.516666667,2260,Shield volcano,unknown,Africa-W
1401-09=,San Cristobal,Nicaragua,Historical,12.70166667,-87.00361111,1745,Stratovolcano,2011,Nicaragua
1401-10=,San Cristobal,Galapagos,Holocene,-0.883333333,-89.5,759,Shield volcano,unknown,Galapagos
1401-11=,San Diego,El Salvador,Holocene,14.26666667,-89.48333333,781,Volcano field,unknown,El Salvador
1401-12=,San Felix,Chile,Holocene,-26.28333333,-80.11666667,193,Shield volcano,unknown,Chile-is
1401-13=,San Joaquin,Africa,Holocene,3.35,8.633333333,2009,Shield volcano,unknown,Africa-W
1402-02=,San Jorge,Portugal,Historical,38.65,-28.08333333,1053,Fissure vent,1907,Azores
1402-03=,San Jose,Chile,Historical,-33.78166667,-69.89722222,5856,Stratovolcano,1960,Chile-C
1402-04=,San Luis  isla,Mexico,Holocene,29.96666667,-114.4,180,Tuff cone,unknown,Mexico
1402-06=,San Martin,Mexico,Historical,18.56666667,-95.2,1650,Shield volcano,1796,Mexico
1402-07=,San Miguel,El Salvador,Historical,13.43388889,-88.26916667,2130,Stratovolcano,2002,El Salvador
1402-08=,San Pablo Volcano Field,Philippines,Anthropology,14.11666667,121.3,1090,Stratovolcano,1350,Luzon-Philippines
1402-09=,San Pedro,Chile,Historical,-21.88333333,-68.4,6145,Stratovolcano,1960,Chile-N
1402-10=,San Pedro-Pellado,Chile,Holocene,-35.98916667,-70.84944444,3621,Stratovolcano,unknown,Chile-C
1402-111,San Quintin Volcano Field,Mexico,Holocene,30.46777778,-115.9963889,260,Cinder cone,unknown,Mexico
1402-11=,San Salvador,El Salvador,Historical,13.73416667,-89.29388889,1893,Stratovolcano,unknown,El Salvador
1402-121,San Vicente,El Salvador,Holocene,13.59527778,-88.8375,2182,Stratovolcano,unknown,El Salvador
1402-12=,Sanbe,Japan,Radiocarbon,35.13333333,132.6166667,1126,Stratovolcano,-650,Honshu-Japan
1402-13-,Sand Mountain Field,United States,Radiocarbon,44.38333333,-121.9333333,1664,Cinder cone,-70,US-Oregon
1402-14-,Sanford,Alaska,Holocene,62.21666667,-144.1333333,4949,Shield volcano,unknown,Alaska-E
1402-141,Sanganguey,Mexico,Holocene,21.45,-104.7333333,2340,Stratovolcano,unknown,Mexico
1402-15-,Sangay,Ecuador,Historical,-2.0025,-78.34083333,5230,Stratovolcano,2011,Ecuador
1402-16-,Sangeang Api,Indonesia,Historical,-8.2,119.0666667,1949,Complex volcano,1999,Lesser Sunda Islands
1402-17-,Sano  Wai,Indonesia,Holocene,-8.716666667,120.0166667,903,Caldera,unknown,Lesser Sunda Islands
1402-18-,Santa Ana,El Salvador,Historical,13.85333333,-89.63,2381,Stratovolcano,unknown,El Salvador
1402-19-,Santa Clara,United States,Holocene,37.25694444,-113.625,1465,Volcano field,unknown,US-Utah
1402-20-,Santa Cruz,Galapagos,Holocene,-0.616666667,-90.33333333,864,Shield volcano,unknown,Galapagos
1402-21-,Santa isabel,Africa,Historical,3.583333333,8.75,3007,Shield volcano,1923,Africa-W
1403-001,Santa isabel,Colombia,Radiocarbon,4.816666667,-75.36666667,4950,Shield volcano,1923,Colombia
1403-002,Santa Maria,Guatemala,Historical,14.75583333,-91.55166667,3772,Stratovolcano,2011,Guatemala
1403-01=,Santiago,Galapagos,Historical,-0.216666667,-90.76666667,920,Shield volcano,1906,Galapagos
1403-02=,Santiago  Cerro,Guatemala,Holocene,14.33333333,-89.86666667,1192,Volcano field,unknown,Guatemala
1403-03=,Santo Tomas,Philippines,Uncertain,16.33333333,120.55,2260,Stratovolcano,unknown,Luzon-Philippines
1403-041,Santorini,Greece,Historical,36.40361111,25.39638889,367,Shield volcano,1950,Greece
1403-051,Sao Tome,Africa,Holocene,0.2,6.583333333,2024,Shield volcano,unknown,Africa-W
1403-052,Sao Vicente,Cape Verde,Holocene,16.85,-24.96666667,725,Stratovolcano,unknown,Cape Verde is
1403-05=,Sara Sara,Peru,Holocene,-15.33333333,-73.45,5522,Stratovolcano,unknown,Peru
1403-06=,Sarigan,Pacific Ocean,Holocene,16.70833333,145.7833333,538,Stratovolcano,unknown,Mariana is-C Pacific
1403-071,Sarik-Gajah,Indonesia,Holocene,0.083333333,100.2,,Pyroclastic cone,unknown,Sumatra
1403-072,Sarychev Peak,Russia,Historical,48.09166667,153.2,1496,Stratovolcano,2009,Kuril is
1403-07=,Satah Mountain,Canada,Holocene,52.46666667,-124.7,1921,Volcano field,unknown,Canada
1403-081,Savai'i,Pacific Ocean,Historical,-13.61166667,-172.525,1858,Shield volcano,1911,Samoa-SW Pacific
1403-082,Savo,Pacific Ocean,Historical,-9.133333333,159.8166667,485,Stratovolcano,1847,Solomon is-SW Pacific
1403-08=,Sawad  Harra es-,Arabia,Historical,13.58333333,46.11666667,1737,Volcano field,1253,Arabia-S
1403-09=,Schmidt,Russia,Holocene,54.91666667,160.6333333,2020,Shield volcano,unknown,Kamchatka
1403-101,Seal Nunataks Group,Antarctica,Uncertain,-65.03333333,-60.05,368,Pyroclastic cone,unknown,Antarctica
1403-10=,Seamount X,Pacific Ocean,Fumarolic,13.25,144.0166667,-1230,Submarine volcano,1690,Mariana is-C Pacific
1403-11=,Sedankinsky,Russia,Radiocarbon,57.26666667,160.0833333,1241,Shield volcano,-7050,Kamchatka
1403-12=,Segererua Plateau,Africa,Holocene,1.566666667,37.9,699,Pyroclastic cone,unknown,Africa-E
1403-13-,Seguam,Aleutian Islands,Historical,52.31527778,-172.5097222,1054,Stratovolcano,1993,Aleutian is
