NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
1701-051,Ushkovsky,Russia,Historical,56.07027778,160.47,3943,Compound volcano,1890,Kamchatka
1701-05=,Usu,Japan,Historical,42.54138889,140.8427778,737,Stratovolcano,2001,Hokkaido-Japan
1701-06=,Usulutan,El Salvador,Holocene,13.41888889,-88.47055556,1449,Stratovolcano,unknown,El Salvador
1701-07=,Utila island,Honduras,Holocene,16.1,-86.9,74,Pyroclastic cone,unknown,Honduras
1701-08=,Uwayrid  Harrat,Arabia,Anthropology,27.08333333,37.25,1920,Volcano field,-640,Arabia-W
1701-09=,Uzon,Russia,Radiocarbon,54.5,159.9666667,1617,Caldera,-200,Kamchatka
1702-01=,Vailulu'u,Pacific Ocean,Historical,-14.215,-169.0583333,-592,Submarine volcano,2003,Samoa-SW Pacific
1702-02=,Vakak Group,Afghanistan,Holocene,34.25,67.96666667,3190,Volcano field,unknown,Afghanistan
1702-03=,Valle  El,Panama,Holocene,8.583333333,-80.16666667,1185,Stratovolcano,unknown,Panama
1702-04=,Veer,Russia,Tephrochronology,53.75,158.45,520,Cinder cone,-390,Kamchatka
1702-05=,Veniaminof,Alaska,Historical,56.16666667,-159.3833333,2507,Stratovolcano,2008,Alaska Peninsula
1702-07=,Verkhovoy,Russia,Holocene,56.51666667,159.5333333,1400,Shield volcano,unknown,Kamchatka
1703-01=,Vernadskii Ridge,Russia,Holocene,50.55,155.9666667,1183,Cinder cone,unknown,Kuril is
1703-03=,Vestmannaeyjar,Iceland,Historical,63.43333333,-20.28333333,279,Submarine volcano,1973,Iceland-S
1703-04=,Vesuvius,Italy,Historical,40.82138889,14.42611111,1281,Somma volcano,1944,Italy
1703-05=,Veteran,Vietnam,Fumarolic,9.833333333,109.05,,Submarine volcano,unknown,Vietnam
1703-06=,Victory,New Guinea,Historical,-9.2,149.0666667,1925,Stratovolcano,1935,New Guinea
1703-07=,Viedma,Argentina,Historical,-49.35833333,-73.28333333,1500,Subglacial volcano,1988,Argentina
1703-08=,Villarrica,Chile,Historical,-39.41666667,-71.93333333,2847,Stratovolcano,2011,Chile-C
1703-09=,Vilyuchik,Russia,Tephrochronology,52.7,158.2833333,2173,Stratovolcano,-8050,Kamchatka
1703-10=,Visoke,Africa,Historical,-1.466666667,29.49166667,3711,Stratovolcano,1957,Africa-C
1704-01=,Visokiy,Russia,Holocene,52.43333333,157.9333333,1234,Stratovolcano,unknown,Kamchatka
1704-02=,Vitim Plateau,Russia,Holocene,53.7,113.3,1250,Cinder cone,unknown,Russia-SE
1705-01=,Voon  Tarso,Africa,Fumarolic,20.91666667,17.28333333,3100,Stratovolcano,unknown,Africa-N
1706-01=,Voyampolsky,Russia,Holocene,58.36666667,160.6166667,1225,Shield volcano,unknown,Kamchatka
1802-001,Vsevidof,Aleutian Islands,Historical,53.13,-168.6930556,2149,Stratovolcano,1878,Aleutian is
1802-002,Vulcano,Italy,Historical,38.40361111,14.96166667,500,Stratovolcano,1890,Italy
1802-01=,Vulsini,Italy,Historical,42.6,11.93333333,800,Caldera,-104,Italy
1802-02=,Vysoky,Russia,Radiocarbon,55.06666667,160.7666667,2161,Stratovolcano,-550,Kamchatka
1802-03=,Waesche,Antarctica,Holocene,-77.16666667,-126.8833333,3292,Shield volcano,unknown,Antarctica
1802-04=,Waiowa,New Guinea,Historical,-9.566666667,149.075,640,Pyroclastic cone,1944,New Guinea
1802-05=,Wallis islands,Pacific Ocean,Holocene,-13.3,-176.1666667,143,Shield volcano,unknown,SW Pacific
1802-07=,Wapi Lava Field,United States,Radiocarbon,42.88333333,-113.2166667,1604,Shield volcano,-300,US-idaho
1802-081,Washiba-Kumonotaira,Japan,Holocene,36.40805556,137.5941667,2924,Shield volcano,unknown,Honshu-Japan
1802-08=,Watt  Morne,British West Indies,Historical,15.30666667,-61.305,1224,Stratovolcano,1997,British West Indies
1802-09=,Wau-en-Namus,Africa,Holocene,25.05,17.55,547,Caldera,unknown,Africa-N
1802-10=,Wayang-Windu,Indonesia,Fumarolic,-7.208333333,107.6333333,2182,Lava dome,unknown,Java
1802-11=,Wells Gray-Clearwater,Canada,Dendrochronology,52.33333333,-120.5666667,2015,Cinder cone,1550,Canada
1802-12-,West Crater,United States,Radiocarbon,45.88333333,-122.0833333,1329,Volcano field,-5750,US-Washington
1803-01-,West Eifel Volcano Field,Germany,Radiocarbon,50.16666667,6.85,600,Maar,-8300,Germany
1803-02-,West Mata,Pacific Ocean,Historical,-15.1,-173.75,-1174,Submarine volcano,2009,Tonga-SW Pacific
1803-03-,Westdahl,Aleutian Islands,Historical,54.51833333,-164.65,1654,Stratovolcano,1992,Aleutian is
1803-04-,Whangarei,New Zealand,Holocene,-35.75,174.2666667,397,Cinder cone,unknown,New Zealand
1803-05-,White island,New Zealand,Historical,-37.51666667,177.1833333,321,Stratovolcano,2001,New Zealand
1803-06-,Wilis,Indonesia,Holocene,-7.808333333,111.7583333,2563,Stratovolcano,unknown,Java
1804-01=,Wolf,Galapagos,Historical,0.016666667,-91.35,1710,Shield volcano,1982,Galapagos
1804-02-,Wrangell,Alaska,Historical,62,-144.0166667,4317,Shield volcano,2002,Alaska-E
1804-03-,Wudalianchi,China,Historical,48.71666667,126.1166667,597,Volcano field,1776,China-E
1805-05-,Wurlali,Indonesia,Historical,-7.125,128.675,868,Stratovolcano,1892,Banda Sea
1805-051,Yake-dake,Japan,Historical,36.22361111,137.59,2455,Stratovolcano,1995,Honshu-Japan
1806-011,Yali,Greece,Holocene,36.67055556,27.13972222,180,Lava dome,unknown,Greece
1806-01=,Yangudi,Ethiopia,Holocene,10.58333333,41.04166667,1383,Complex volcano,unknown,Ethiopia
1806-02-,Yantarni,Alaska,Tephrochronology,57.01861111,-157.185,1345,Stratovolcano,-800,Alaska Peninsula
1806-03-,Yanteles,Chile,Radiocarbon,-43.5,-72.8,2042,Stratovolcano,-6650,Chile-S
1900-011,Yar  Jabal,Arabia,Historical,17.05,42.83333333,305,Volcano field,1810,Arabia-W
1900-012,Yasur,Pacific Ocean,Historical,-19.53333333,169.4416667,361,Stratovolcano,2011,Vanuatu-SW Pacific
1900-013,Yate,Chile,Holocene,-41.75472222,-72.39638889,2187,Stratovolcano,unknown,Chile-S
1900-015,Yavinsky,Russia,Tephrochronology,51.56666667,156.6,705,Stratovolcano,-4050,Kamchatka
1900-01=,Yelia,New Guinea,Holocene,-7.05,145.8583333,3384,Stratovolcano,unknown,New Guinea
1900-020,Yellowstone,United States,Tephrochronology,44.43333333,-110.6666667,2805,Caldera,-1350,US-Wyoming
1900-021,Yersey,Indonesia,Uncertain,-7.533333333,123.95,-3800,Submarine volcano,unknown,Lesser Sunda Islands
1900-022,Yojoa  Lake,Honduras,Holocene,14.98333333,-87.98333333,1090,Volcano field,unknown,Honduras
1900-023,Yokoate-jima,Japan,Historical,28.79694444,128.9969444,495,Stratovolcano,1835,Ryukyu is
1900-024,Yomba,Papua New Guinea,Uncertain,-4.9,146.75,,Submarine volcano,unknown,New Guinea-NE of
1900-025,Yotei,Japan,Tephrochronology,42.82972222,140.815,1898,Stratovolcano,-1050,Hokkaido-Japan
1900-026,Young island,Antarctica,Fumarolic,-66.41666667,162.4666667,1340,Stratovolcano,unknown,Antarctica
1900-027,Yucamane,Peru,Historical,-17.18333333,-70.2,5550,Stratovolcano,1902,Peru
1900-028,Yunaska,Aleutian Islands,Historical,52.64277778,-170.6286111,550,Shield volcano,1937,Aleutian is
1900-029,Zacate Grande  isla,Honduras,Holocene,13.33333333,-87.63333333,640,Stratovolcano,unknown,Honduras
1900-02=,Zao,Japan,Historical,38.14055556,140.4427778,1841,Complex volcano,1940,Honshu-Japan
1900-031,Zaozerny,Russia,Holocene,56.88333333,159.95,1349,Shield volcano,unknown,Kamchatka
1900-03=,Zapatera,Nicaragua,Holocene,11.73333333,-85.81666667,629,Shield volcano,unknown,Nicaragua
1900-041,Zavaritsky,Russia,Radiocarbon,53.905,158.385,1567,Cinder cone,-800,Kamchatka
1900-04=,Zavaritzki Caldera,Russia,Historical,46.925,151.95,624,Caldera,1957,Kuril is
1900-05=,Zavodovski,Antarctica,Historical,-56.3,-27.56666667,551,Stratovolcano,1819,Antarctica
1900-07=,Zealandia Bank,Pacific Ocean,Fumarolic,16.88333333,145.85,0,Stratovolcano,unknown,Mariana is-C Pacific
1900-081,Zengyu,Taiwan,Uncertain,26.18333333,122.4583333,-418,Submarine volcano,unknown,Taiwan-N of
1900-08=,Zheltovsky,Russia,Historical,51.56666667,157.3233333,1953,Stratovolcano,1923,Kamchatka
1900-09=,Zhupanovsky,Russia,Historical,53.59,159.1466667,2958,Compound volcano,1959,Kamchatka
1900-10=,Zimina,Russia,Holocene,55.86166667,160.6033333,3081,Stratovolcano,unknown,Kamchatka
1900-11=,Zitacuaro-Valle de Bravo,Mexico,Ar/Ar,19.4,-100.25,3500,Caldera,unknown,Mexico
1900-12=,Zubair Group,Red Sea,Historical,15.05,42.18333333,191,Shield volcano,1824,Red Sea
1900-13=,Zukur,Red Sea,Holocene,14.01666667,42.75,624,Shield volcano,unknown,Red Sea
1900-14-,Zuni-Bandera,United States,Anthropology,34.8,-108,2550,Volcano field,-1170,US-New Mexico
