GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53033008400,382615,0,47.6134675,-122.3239419,3760,0.032143593,4.57738E-05
53033008300,237446,0,47.6118178,-122.3280041,2505,0.030327206,2.84062E-05
53033008200,366705,0,47.6103728,-122.331941,3280,0.032455936,4.38681E-05
53033008100,827795,368877,47.6058741,-122.3393423,4070,0.060234679,0.000143143
53033008002,229060,0,47.6120871,-122.3452591,3013,0.027896748,2.74027E-05
53033008001,493763,546001,47.6150718,-122.3555298,5588,0.074989542,0.000124394
53033007900,698478,0,47.6143865,-122.3076722,5147,0.038340733,8.35624E-05
53033007800,2114574,3212025,47.6141558,-122.2810958,5145,0.115965918,0.000637242
53033007700,1058325,0,47.6191203,-122.2973516,4476,0.048853498,0.000126625
53033023601,4602566,0,47.6104586,-122.1719138,3812,0.097885557,0.000550591
53033024601,4016906,2661746,47.5484565,-122.2237306,4302,0.16014639,0.000798015
53033023604,2940216,0,47.5993896,-122.1539499,5838,0.091803683,0.000351655
53033023700,7530638,18305,47.6327201,-122.1733574,3971,0.154348311,0.000903438
53033029902,6290862,10821,47.3241338,-122.2580667,4427,0.130328688,0.000749755
53033029901,3958496,107134,47.3240587,-122.282336,4823,0.090193036,0.000483754
53033029802,6856382,174573,47.3445746,-122.2747262,8969,0.142116807,0.000836916
53033029801,7901412,164205,47.3609177,-122.2683819,7914,0.163251197,0.000960441
53033029700,11047288,222690,47.3646803,-122.2258729,7056,0.199365647,0.001341975
53033029602,6659409,50035,47.3383864,-122.1880544,5462,0.140992743,0.000798539
53033029601,3950607,70584,47.3561518,-122.1841491,7153,0.102988192,0.000478758
53033029504,1883400,0,47.3797202,-122.1945497,5292,0.059966995,0.00022433
53033007600,571878,0,47.6218678,-122.3075858,3498,0.033597026,6.84269E-05
53033007500,801744,0,47.6183901,-122.3168861,6282,0.041413591,9.59247E-05
53033007300,926047,0,47.6199883,-122.3335164,4668,0.045342619,0.0001108
53033007200,1010266,0,47.6194539,-122.3431175,5318,0.055530476,0.000120876
53033007100,862095,0,47.6224443,-122.3574017,3055,0.059370301,0.000103153
53033007000,805962,0,47.6282328,-122.3568062,6959,0.046721261,9.64467E-05
53033006900,902889,0,47.6343628,-122.3669714,4080,0.051044906,0.000108059
53033006800,718106,0,47.6360306,-122.3564653,2834,0.038414201,8.59462E-05
53033006700,1278220,102394,47.6318633,-122.3442667,6544,0.058336134,0.000165227
53033006600,1113996,826398,47.6296259,-122.3310053,3540,0.068983905,0.000232222
53033006500,1147621,0,47.6309633,-122.3177579,4157,0.058674457,0.000137339
53033023801,3723442,0,47.5957098,-122.188697,2536,0.100958143,0.0004453
53033024000,4669788,239079,47.6273756,-122.2042081,7612,0.136971175,0.000587419
53033024701,2739207,0,47.5614775,-122.1808594,3598,0.093801145,0.00032738
53033024901,3183749,0,47.5633033,-122.1575188,5017,0.10167429,0.000380524
53033024702,6392898,797574,47.5396242,-122.1897607,7058,0.136137142,0.00085895
53033021700,5665993,0,47.7641311,-122.2351861,7681,0.141880999,0.000679781
53033022001,4394633,0,47.7451437,-122.1989202,4738,0.10528515,0.000527059
